as_of_date,ticker,headline,news_text,source,url
2025-04-28 11:00:00,TSLA,Retail traders should consider more conservative investments: Wall Street veteran,,Finviz,https://finance.yahoo.com/news/retail-traders-should-consider-more-conservative-investments-wall-street-veteran-150009867.html
2025-04-28 11:00:00,TSLA,5 Stocks That Powered Nasdaq ETF's Outperformance Last Week,,Finviz,/news/36633/5-stocks-that-powered-nasdaq-etfs-outperformance-last-week
2025-04-28 10:56:00,TSLA,Memo claims Elon Musk to avoid $2.37B in legal liabilities through DOGE influence,,Finviz,https://www.youtube.com/watch?v=8hSTYRjQHCI
2025-04-28 10:56:00,BA,Cramer's Mad Dash: Boeing,,Finviz,https://www.youtube.com/watch?v=D38rJ-aAwgA
2025-04-28 10:23:00,BA,XLI: The Pick If You Are Bullish On U.S. Manufacturing,,Finviz,https://seekingalpha.com/article/4778769-xli-the-pick-if-you-are-bullish-on-us-manufacturing?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-28 10:13:00,BA,"Boeing, Jack in the Box, Eli Lilly: Trending Tickers",,Finviz,https://finance.yahoo.com/video/boeing-jack-box-eli-lilly-141316547.html
2025-04-28 10:11:00,BA,"Fears for 2,000 UK jobs as Airbus and Boeing carve up Belfast factory",,Finviz,https://finance.yahoo.com/m/8ebd05e9-f85b-3865-bafd-eec1b1f4ddb1/fears-for-2%2C000-uk-jobs-as.html
2025-04-28 09:42:00,BA,"Boeing upgraded, Chipotle downgraded: Wall Street's top analyst calls",,Finviz,https://finance.yahoo.com/news/boeing-upgraded-chipotle-downgraded-wall-134223391.html
2025-04-28 09:37:00,BA,How Should an Investor Play Boeing Stock After Q1 Earnings Beat?,,Finviz,/news/36502/how-should-an-investor-play-boeing-stock-after-q1-earnings-beat
2025-04-28 07:35:00,BA,Boeing Stock Is Rising for Two Reasons,,Finviz,https://finance.yahoo.com/m/219ef1ad-008d-3045-9de0-cbd71f91d516/boeing-stock-is-rising-for.html
2025-04-28 07:15:00,BA,Boeing shares up in premarket as Bernstein upgrades to Buy on improved outlook,,Finviz,https://finance.yahoo.com/news/boeing-shares-premarket-bernstein-upgrades-111509416.html
2025-04-28 06:03:00,BA,"US aviation industry slammed by tariffs, seeks exemptions",,Finviz,https://finance.yahoo.com/news/us-aviation-industry-slammed-tariffs-100328935.html
2025-04-28 05:47:00,BA,"Riyadh Air willing to buy Boeing planes from cancelled Chinese orders, CEO says",,Finviz,https://finance.yahoo.com/news/riyadh-air-willing-buy-boeing-094727389.html
2025-04-28 05:31:00,BA,Airbus Reaches Deal to Buy Spirit AeroSystems Plants,,Finviz,https://finance.yahoo.com/m/bda074cc-50c3-348e-a8ae-9c1eb2068f97/airbus-reaches-deal-to-buy.html
2025-04-28 04:48:00,BA,"Riyadh Air CEO on Tariffs, Cabins, Orders, Deliveries",,Finviz,https://finance.yahoo.com/video/riyadh-air-ceo-tariffs-cabins-084856074.html
2025-04-27 23:53:00,BA,Trade tensions take flight: Trump tariffs spark China retaliation against Boeing,,Finviz,https://www.digitimes.com/news/a20250428PD208/donald-trump-aircraft-war-airbus-comac.html
2025-04-27 23:09:00,BA,The Boeing Company (BA): Among the Best Military Drone Stocks to Buy Now,,Finviz,/news/35288/the-boeing-company-ba-among-the-best-military-drone-stocks-to-buy-now
2025-04-27 06:06:00,BA,SpaceX Trounces Boeing and Lockheed as Space Force Hands Out $13 Billion in Launch Contracts,,Finviz,/news/35066/spacex-trounces-boeing-and-lockheed-as-space-force-hands-out-13-billion-in-launch-contracts
2025-04-27 03:01:00,BA,Woodward (WWD) To Report Earnings Tomorrow: Here Is What To Expect,,Finviz,/news/35876/woodward-wwd-to-report-earnings-tomorrow-here-is-what-to-expect
2025-04-26 15:00:00,BA,Private Credits Cracks Widened Before Turmoil,,Finviz,https://finance.yahoo.com/news/private-credit-cracks-widened-turmoil-190000792.html
2025-04-26 06:45:00,BA,What Moved Markets This Week,,Finviz,https://seekingalpha.com/article/4778472-what-moved-markets-this-week?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-26 05:00:00,BA,"Companies Weigh Price Increases, Manufacturing Moves as Trump Tariffs Hit",,Finviz,https://www.investopedia.com/companies-weigh-price-increases-manufacturing-moves-as-trump-tariffs-hit-11722314
2025-04-25 20:04:00,BA,"Boeing Faces Key Turnaround Challenges With Tariff Risks, China Orders: Analyst",,Finviz,https://finance.yahoo.com/news/boeing-faces-key-turnaround-challenges-000426497.html
2025-04-25 16:39:00,BA,"The Score: Tesla, Capital One, Boeing and More Stocks That Defined the Week",,Finviz,https://finance.yahoo.com/m/7496540a-247b-307d-bc45-ba893cf9aa63/the-score%3A-tesla%2C-capital.html
2025-04-25 11:32:00,BA,"HWM Q1 Earnings Preview: Time to Buy, Sell or Hold the Stock?",,Finviz,/news/36045/hwm-q1-earnings-preview-time-to-buy-sell-or-hold-the-stock
2025-04-25 10:55:00,BA,"Boeing should default China for not taking committed planes, Trump says",,Finviz,https://finance.yahoo.com/news/boeing-default-china-not-taking-145531966.html
2025-04-25 08:45:00,BA,Boeing: Turbulence Is Minimal Even If China Stops Buying Planes,,Finviz,/news/41474/boeing-turbulence-is-minimal-even-if-china-stops-buying-planes
2025-04-25 07:01:00,BA,"Boeing will find it relatively easy to find customers for Chinas rejected planes, says jet leasing CEO",,Finviz,https://finance.yahoo.com/news/boeing-relatively-easy-customers-china-110154012.html
2025-04-25 02:30:00,BA,Airbus Stock Could Gain From Boeings Woes. Sizing Up the China Question.,,Finviz,https://finance.yahoo.com/m/08591a04-6194-3ec1-8bf3-c34cad02f297/airbus-stock-could-gain-from.html
2025-04-24 23:01:00,BA,Trump Says US Talking With China on Trade After Beijings Denial,,Finviz,https://finance.yahoo.com/news/china-says-us-revoke-unilateral-082147537.html
2025-04-24 16:35:00,BA,"American Airlines, Carriers Pull Outlooks; Boeing Confirms China Boycott",,Finviz,https://finance.yahoo.com/m/58f8c944-205f-3aa7-ba80-7e872a1c5e9f/american-airlines%2C-carriers.html
2025-04-24 16:14:00,BA,"Boeing Sees Skies Clear After MAX, Covid, and Quality Woes Took a $240 Billion Toll",,Finviz,https://finance.yahoo.com/m/c973354a-7b34-31df-8580-05e02288c97c/boeing-sees-skies-clear-after.html
2025-04-24 15:37:00,BA,Alaska Airlines CEO on Boeing aircraft delivery and performance,,Finviz,https://www.youtube.com/watch?v=igSxXXfrLDk
2025-04-24 15:36:00,BA,Airbus Executive: Tariffs Could Unravel Aerospace Supply Chains Post-Covid Recovery,,Finviz,https://finance.yahoo.com/m/eb43fc53-1aa4-3574-a77a-15faaa168d96/airbus-executive%3A-tariffs.html
2025-04-24 14:49:00,BA,Trump Blasts China Over Boeing Jet Snub Amid Escalating Trade Feud,,Finviz,https://finance.yahoo.com/news/trump-blasts-china-over-boeing-184959721.html
2025-04-24 14:41:00,BA,"Lockheed Martin Delivers Strong Earnings, Upside Remains",,Finviz,https://seekingalpha.com/article/4777786-lockheed-martin-delivers-strong-earnings-upside-remains?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-24 13:34:00,BA,"Air India in talks with Boeing to take 10 planes snubbed by Chinese airlines, sources say",,Finviz,https://finance.yahoo.com/news/air-india-talks-boeing-10-173410142.html
2025-04-24 13:13:00,BA,Trump Says Boeing Should Default China Over Returned Planes,,Finviz,https://finance.yahoo.com/m/16aebb68-5051-3d81-96ed-b41687b201b1/trump-says-boeing-should.html
2025-04-24 12:20:00,BA,American Airlines Doesnt Want Tariff-Fueled Prices Increases on Planes,,Finviz,https://finance.yahoo.com/m/71300c4a-18a3-3384-a389-ec330dda1de2/american-airlines-doesn%E2%80%99t.html
2025-04-24 11:37:00,BA,Boeing: A Very Bullish Outlook,,Finviz,https://seekingalpha.com/article/4777643-boeing-a-very-bullish-outlook?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-24 10:49:00,BA,Boeing CEO 'won't be shy' about bringing in new execs if needed,,Finviz,https://finance.yahoo.com/news/boeing-ceo-wont-shy-bringing-144902182.html
2025-04-24 10:45:00,BA,Boeing says much of supply chain based in U.S.,,Finviz,https://finance.yahoo.com/news/boeing-says-much-supply-chain-144539137.html
2025-04-24 10:42:00,BA,"Boeing's Q1 Earnings Top Estimates, Revenues Increase Y/Y (Revised)",,Finviz,/news/33487/boeings-q1-earnings-top-estimates-revenues-increase-yy-revised
2025-04-24 10:37:00,BA,"BA Q1 Earnings Call: Boeing Addresses Tariff Uncertainty and Production Ramp, Sees Progress on Recovery",,Finviz,/news/33608/ba-q1-earnings-call-boeing-addresses-tariff-uncertainty-and-production-ramp-sees-progress-on-recovery
2025-04-24 09:50:00,BA,"Stock Market News for Apr 24, 2025",,Finviz,/news/33272/stock-market-news-for-apr-24-2025
2025-04-24 09:03:00,BA,US durable goods orders soar on aircraft bookings in March,,Finviz,https://finance.yahoo.com/news/us-durable-goods-orders-soar-130357373.html
2025-04-24 03:14:00,BA,Q1 2025 Boeing Co Earnings Call,,Finviz,https://finance.yahoo.com/news/q1-2025-boeing-co-earnings-071445569.html
2025-04-24 03:05:00,BA,Boeing Co (BA) Q1 2025 Earnings Call Highlights: Strong Revenue Growth Amid Tariff Challenges,,Finviz,https://finance.yahoo.com/news/boeing-co-ba-q1-2025-070545947.html
2025-04-24 00:00:00,BA,"Vietnam Airlines to finalise 50 Boeing narrow-body order soon, sources say",,Finviz,https://finance.yahoo.com/news/vietnam-airlines-finalise-50-boeing-040027584.html
2025-04-23 22:56:00,BA,Boeing ready to resell jets as tariffs hit China trade,,Finviz,https://finance.yahoo.com/news/chinese-customers-rejecting-jets-due-025618567.html
2025-04-23 17:58:00,BA,Analyst Report: The Boeing Company,,Finviz,https://finance.yahoo.com/m/f4b2fe90-3130-36f2-bbbb-2f4fd0954707/analyst-report%3A-the-boeing.html
2025-04-23 16:51:00,BA,Boeing Stock Surges on Earnings. There Is Still a Lot of Uncertainty Ahead.,,Finviz,https://finance.yahoo.com/m/3b01ffeb-93bc-3f6a-9afd-9c6c08e1d00e/boeing-stock-surges-on.html
2025-04-23 16:30:00,BA,The Dow climbs 400 points as Trump backs off Powell and Tesla stock rallies,,Finviz,https://finance.yahoo.com/news/trump-blinks-stocks-come-roaring-122700042.html
2025-04-23 16:29:00,BA,"Stocks to Watch Recap: IBM, Shopify, Intuitive Surgical, Boeing",,Finviz,https://finance.yahoo.com/m/15f480ad-d6a5-3e03-8b83-e98746b4ea40/stocks-to-watch-recap%3A-ibm%2C.html
2025-04-23 16:22:00,BA,"Boeing Stock Surges On Q1 Results, Plus $10.6 Billion Deal",,Finviz,https://finance.yahoo.com/m/91e4b866-7931-3c7f-aa95-b830e8a3fb02/boeing-stock-surges-on-q1.html
2025-04-23 16:17:00,BA,"These Stocks Moved the Most Today: Tesla, Intel, Enphase, Bristol Myers, Boeing, AT&T, and More",,Finviz,https://finance.yahoo.com/m/395d1256-47e3-36db-aac3-d015a10ebf8d/these-stocks-moved-the-most.html
2025-04-23 16:10:00,BA,Traders Fixated on What Companies Spend More Than Earn,,Finviz,https://finance.yahoo.com/news/traders-fixated-companies-spend-more-201030913.html
2025-04-23 15:42:00,BA,Private Credit Just Crushed Wall Street--$4B Loan Fuels Thoma Bravo's $10.6B Boeing Buyout,,Finviz,https://finance.yahoo.com/news/private-credit-just-crushed-wall-194237721.html
2025-04-23 15:05:00,BA,"Boeing CEO says trade uncertainty, China tensions not expected to affect aerospace giants rebound",,Finviz,https://finance.yahoo.com/m/50527b09-6622-38a0-aa5e-5d9e4105a1d8/boeing-ceo-says-trade.html
2025-04-23 14:40:00,BA,"These Stocks Are Moving the Most Today: Tesla, Intel, Enphase, Bristol Myers, Boeing, AT&T, and More",,Finviz,https://finance.yahoo.com/m/395d1256-47e3-36db-aac3-d015a10ebf8d/these-stocks-are-moving-the.html
2025-04-23 14:30:00,BA,Wall Street Lunch: Bessent Comments On China Tariffs,,Finviz,https://seekingalpha.com/article/4777307-wall-street-lunch-bessent-comments-on-china-tariffs?utm_source=finviz.com&utm_medium=referral&feed_item_type=article
2025-04-23 13:47:00,BA,The Boeing Company (BA) Q1 2025 Earnings Call Transcript,,Finviz,https://seekingalpha.com/article/4777295-the-boeing-company-ba-q1-2025-earnings-call-transcript?utm_source=finviz.com&utm_medium=referral&feed_item_type=transcript
