Date,Close/Last,Volume,Open,High,Low
07/31/2024,$117.02,473174200,$112.90,$118.34,$110.88
07/30/2024,$103.73,486833300,$111.52,$111.99,$102.54
07/29/2024,$111.59,248152100,$113.69,$116.28,$111.30
07/26/2024,$113.06,293399100,$116.19,$116.20,$111.58
07/25/2024,$112.28,460067000,$113.04,$116.63,$106.30
07/24/2024,$114.25,327776900,$119.17,$119.95,$113.44
07/23/2024,$122.59,173911000,$122.78,$124.69,$122.10
07/22/2024,$123.54,258068900,$120.35,$124.07,$119.86
07/19/2024,$117.93,217223800,$120.35,$121.60,$117.37
07/18/2024,$121.09,320979500,$121.85,$122.40,$116.56
07/17/2024,$117.99,390086200,$121.35,$121.85,$116.72
07/16/2024,$126.36,214769500,$128.44,$129.04,$124.58
07/15/2024,$128.44,208326200,$130.56,$131.39,$127.18
07/12/2024,$129.24,252680500,$128.26,$131.92,$127.22
07/11/2024,$127.40,374782700,$135.75,$136.15,$127.05
07/10/2024,$134.91,248978600,$134.03,$135.10,$132.42
07/09/2024,$131.38,287020800,$130.35,$133.82,$128.65
07/08/2024,$128.20,237677300,$127.49,$130.77,$127.04
07/05/2024,$125.83,214176700,$127.38,$128.85,$125.68
07/03/2024,$128.28,215749000,$121.66,$128.28,$121.36
07/02/2024,$122.67,218374000,$121.13,$123.41,$121.03
07/01/2024,$124.30,284885500,$123.47,$124.84,$118.83
06/28/2024,$123.54,315516700,$124.58,$127.71,$122.75
06/27/2024,$123.99,252571700,$124.10,$126.41,$122.92
06/26/2024,$126.40,362975900,$126.13,$128.12,$122.60
06/25/2024,$126.09,425787500,$121.20,$126.50,$119.32
06/24/2024,$118.11,476060900,$123.24,$124.46,$118.04
06/21/2024,$126.57,655484700,$127.12,$130.63,$124.30
06/20/2024,$130.78,517768400,$139.80,$140.76,$129.52
06/18/2024,$135.58,294335100,$131.14,$136.33,$130.69
06/17/2024,$130.98,288504400,$132.99,$133.73,$129.58
06/14/2024,$131.88,309320400,$129.96,$132.84,$128.32
06/13/2024,$129.61,260704500,$129.39,$129.80,$127.16
06/12/2024,$125.20,299595000,$123.06,$126.88,$122.57
06/11/2024,$120.91,222551200,$121.77,$122.87,$118.74
06/10/2024,$121.79,314162700,$120.37,$123.10,$117.01
06/07/2024,$120.89,412385800,$119.77,$121.69,$118.02
06/06/2024,$121.00,664696200,$124.05,$125.59,$118.32
06/05/2024,$122.44,528401800,$118.37,$122.45,$117.47
06/04/2024,$116.44,403324000,$115.72,$116.60,$114.05
06/03/2024,$115.00,438391800,$113.62,$115.00,$112.00
05/31/2024,$109.63,613262500,$112.52,$112.72,$106.94
05/30/2024,$110.50,487350300,$114.65,$115.82,$109.66
05/29/2024,$114.83,557441900,$113.05,$115.49,$110.90
05/28/2024,$113.90,652727900,$110.24,$114.94,$109.88
